Datum;Ort;Temperatur °C;Druck hPa;Feuchtigkeit %;Beschreibung
2025-09-08 14:38:11;Balgach;22.7;1017;77;Bedeckt
2025-09-08 14:39:15;Balgach;22.7;1017;77;Bedeckt
2025-09-08 14:39:20;Balgach;22.7;1017;77;Bedeckt
2025-09-08 14:39:25;Uster;22.26;1017;71;Leichter Regen
2025-09-08 14:39:31;Bregenz;23.09;1017;84;Bedeckt
2025-09-08 14:39:36;München;23.51;1016;63;Bedeckt
2025-09-08 14:41:57;Balgach;22.7;1017;77;Bedeckt
2025-09-08 14:42:02;Balgach;22.7;1017;77;Bedeckt
2025-09-08 14:42:07;Uster;22.26;1017;71;Leichter Regen
2025-09-08 14:42:12;Bregenz;23.09;1017;84;Bedeckt
2025-09-08 14:42:18;München;23.51;1016;63;Bedeckt
